temperature_c,day_type,ice_cream_sales
5.0,Weekday,12
5.9,Weekday,33
6.4,Weekday,42
6.9,Weekend,126
7.3,Weekday,27
7.5,Weekend,83
7.7,Weekday,3
8.2,Weekday,97
9.6,Weekday,64
9.7,Weekday,111
9.8,Weekday,136
10.2,Weekday,105
10.8,Weekday,158
11.3,Weekday,105
12.2,Weekday,78
12.5,Weekday,134
13.1,Weekday,94
13.2,Weekend,298
14.4,Weekday,185
14.7,Weekday,164
14.7,Weekend,333
15.1,Weekend,224
15.5,Weekday,229
15.8,Weekend,265
15.8,Weekday,211
16.0,Weekday,158
16.4,Weekday,212
17.0,Weekday,209
17.4,Weekday,236
17.8,Weekday,228
18.0,Weekend,290
18.0,Weekday,226
18.3,Weekday,182
19.5,Weekday,229
19.5,Weekday,197
19.5,Weekday,185
19.8,Weekday,259
19.9,Weekday,281
20.3,Weekend,383
20.7,Weekend,319
20.8,Weekday,300
20.8,Weekday,186
21.1,Weekday,318
21.1,Weekend,279
21.2,Weekday,297
21.4,Weekday,197
21.5,Weekday,273
21.7,Weekday,266
21.7,Weekday,321
22.0,Weekday,259
22.2,Weekend,392
22.5,Weekend,442
22.5,Weekday,332
23.3,Weekday,224
23.3,Weekday,312
23.3,Weekday,293
23.4,Weekend,400
23.8,Weekend,403
24.2,Weekend,420
25.0,Weekday,243
25.7,Weekend,423
26.0,Weekday,378
27.2,Weekday,340
28.0,Weekday,408
28.1,Weekday,411
28.4,Weekend,461
28.6,Weekend,412
28.8,Weekday,354
28.9,Weekend,465
29.4,Weekday,368
29.8,Weekend,465
30.1,Weekday,419
30.2,Weekday,444
30.3,Weekday,444
30.9,Weekday,445
31.0,Weekday,410
31.3,Weekend,548
31.9,Weekend,552
32.1,Weekday,443
32.2,Weekday,434
32.3,Weekday,465
32.9,Weekend,516
32.9,Weekday,438
33.0,Weekday,497
33.1,Weekday,470
34.3,Weekend,515
34.5,Weekday,495
34.7,Weekday,429
35.6,Weekday,428
36.1,Weekend,601
36.7,Weekday,447
36.8,Weekend,590
36.8,Weekend,563
37.6,Weekday,476
37.9,Weekday,495
38.1,Weekend,592
38.3,Weekday,547
38.4,Weekday,502
38.8,Weekday,523
39.2,Weekday,501
